#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"34,204,164","+399,822","470,852","+3,290","29,740,843","+280,566","3,992,469","29,611",Asia
80,Nigeria,"164,303",+70,"2,061","154,384",+52,"7,858",11,782,10,"1,870,915","8,901","210,190,745",Africa,"1,279","101,985",112
81,Kenya,"151,894",+241,"2,501",+20,"102,278",+636,"47,115",250,"2,776",46,"1,605,847","29,351","54,711,533",Africa,360,"21,876",34
82,North Macedonia,"147,229",+135,"4,478",+35,"123,710",+900,"19,041",124,"70,671","2,149","692,096","332,210","2,083,306",Europe,14,465,3
83,Myanmar,"142,644",+16,"3,206","131,903",+8,"7,535","2,608",59,"2,559,883","46,798","54,701,099",Asia,383,"17,062",21
84,Albania,"129,694",+100,"2,347",+5,"102,171",+587,"25,176",18,"45,107",816,"605,277","210,511","2,875,281",Europe,22,"1,225",5
85,Algeria,"119,805",+163,"3,160",+5,"83,514",+117,"33,131",21,"2,693",71,"230,861","5,190","44,480,655",Africa,371,"14,076",193
86,Estonia,"117,782",+228,"1,100",+8,"102,226",+347,"14,456",54,"88,741",829,"1,234,091","929,811","1,327,249",Europe,11,"1,207",1
87,S. Korea,"114,646",+531,"1,801",+4,"104,474",+468,"8,371",99,"2,235",35,"8,414,821","164,017","51,304,493",Asia,448,"28,487",6
88,Latvia,"111,536",+202,"2,056",+3,"102,174",+230,"7,306",86,"59,662","1,100","2,125,172","1,136,791","1,869,449",Europe,17,909,1
89,Norway,"108,028",+518,709,+1,"88,952","18,367",46,"19,803",130,"5,009,274","918,277","5,455,081",Europe,50,"7,694",1
90,Sri Lanka,"97,105",+309,620,+2,"93,374",+261,"3,111","4,520",29,"2,374,627","110,525","21,485,015",Asia,221,"34,653",9
91,Montenegro,"95,695",+144,"1,438",+9,"91,119",+216,"3,138",69,"152,349","2,289","361,946","576,228","628,130",Europe,7,437,2
92,Cuba,"94,571","+1,060",531,+6,"89,073","+1,038","4,967",64,"8,354",47,"3,385,469","299,041","11,321,081",North America,120,"21,320",3
93,Kyrgyzstan,"92,095",+212,"1,555",+6,"87,056",+149,"3,484",25,"13,933",235,"935,444","141,523","6,609,836",Asia,72,"4,251",7
94,Ghana,"91,709",771,"89,604","1,334",9,"2,903",24,"1,047,048","33,147","31,588,075",Africa,344,"40,970",30
95,Zambia,"90,942",+24,"1,236",+1,"88,860",+142,846,48,"4,839",66,"1,348,181","71,744","18,791,640",Africa,207,"15,204",14
96,Uzbekistan,"86,982",+302,638,"84,307",+264,"2,037",23,"2,569",19,"1,377,915","40,700","33,855,440",Asia,389,"53,065",25
97,Finland,"84,287",+156,891,+4,"46,000","37,396",34,"15,193",161,"4,266,864","769,136","5,547,606",Europe,66,"6,226",1
98,Mozambique,"69,228",+25,800,+2,"62,315","+1,022","6,113",43,"2,167",25,"504,532","15,792","31,948,823",Africa,462,"39,936",63
99,El Salvador,"67,557","2,078",+3,"63,787","1,692",62,"10,374",319,"888,633","136,453","6,512,357",North America,96,"3,134",7
100,Luxembourg,"65,144",+30,786,+1,"61,539",+912,"2,819",30,"102,738","1,240","2,570,604","4,054,062","634,081",Europe,10,807,0
