#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
74,Bosnia and Herzegovina,"194,371","+1,256","8,164",+82,"152,007","+1,549","34,200",,"59,546","2,501","884,114","270,849","3,264,230",Europe,17,400,4,385,25,"10,477"
75,Venezuela,"188,063","+1,318","1,987",+22,"171,043","+1,358","15,033",293,"6,629",70,"3,359,014","118,398","28,370,512",South America,151,"14,278",8,46,0.8,530
76,Oman,"185,278","+1,508","1,942",+16,"165,051","+1,301","18,285",266,"35,555",373,"1,550,000","297,448","5,211,002",Asia,28,"2,683",3,289,3,"3,509"
77,Uruguay,"175,891","+3,290","2,160",+77,"145,464","+2,915","28,267",514,"50,493",620,"1,693,215","486,069","3,483,486",South America,20,"1,613",2,944,22,"8,115"
78,Libya,"174,216",+533,"2,936",+12,"159,630",+739,"11,650",,"25,079",423,"940,305","135,359","6,946,740",Africa,40,"2,366",7,77,2,"1,677"
79,Bahrain,"168,201","+1,036",614,+7,"156,981","+1,213","10,606",97,"96,174",351,"3,967,761","2,268,686","1,748,925",Asia,10,"2,848",0,592,4,"6,064"
80,Nigeria,"164,588",+100,"2,061",,"154,578",+137,"7,949",11,783,10,"1,870,915","8,899","210,246,752",Africa,"1,277","102,012",112,0.5,,38
81,Kenya,"154,392",+904,"2,560",+20,"105,367",+88,"46,465",226,"2,821",47,"1,624,663","29,688","54,724,507",Africa,354,"21,377",34,17,0.4,849
82,North Macedonia,"149,221",+603,"4,595",+39,"126,234",+641,"18,392",124,"71,627","2,206","700,728","336,354","2,083,305",Europe,14,453,3,289,19,"8,828"
83,Myanmar,"142,674",+13,"3,206",,"131,914",+6,"7,554",,"2,608",59,"2,561,910","46,831","54,705,079",Asia,383,"17,063",21,0.2,,138
