#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"34,650,551","+446,048","474,557","+3,700","30,052,814","+311,994","4,123,180","29,745",Asia
65,Denmark,"244,065",+691,"2,463",+4,"232,191",+563,"9,411",38,"42,018",424,"32,675,839","5,625,458","5,808,565",Europe,24,"2,358",0
66,Lithuania,"235,420","+1,175","3,788",+12,"213,118","+1,615","18,514",196,"87,463","1,407","2,632,659","978,083","2,691,652",Europe,11,711,1
67,Slovenia,"233,033",+720,"4,172",+5,"216,528",+267,"12,333",157,"112,080","2,007","1,135,283","546,028","2,079,167",Europe,9,498,2
68,Costa Rica,"231,967","+1,130","3,104",+5,"199,166","+1,324","29,697",269,"45,206",605,"919,324","179,158","5,131,361",North America,22,"1,653",6
69,Egypt,"218,041",+855,"12,820",+42,"164,368",+556,"40,853",90,"2,099",123,"2,677,262","25,774","103,873,875",Africa,476,"8,102",39
70,Guatemala,"214,700","+1,651","7,279",+38,"192,519","+1,027","14,902",5,"11,810",400,"1,176,613","64,720","18,179,938",North America,85,"2,498",15
71,Armenia,"209,485",+667,"3,919",+24,"189,688",+671,"15,878","70,589","1,321","942,001","317,419","2,967,689",Asia,14,757,3
72,Honduras,"201,677",+742,"4,963",+6,"76,339","120,375",576,"20,107",495,"562,923","56,122","10,030,403",North America,50,"2,021",18
73,Qatar,"198,361",+885,391,+5,"175,431",+733,"22,539",459,"70,646",139,"1,849,568","658,724","2,807,805",Asia,14,"7,181",2
74,Bosnia and Herzegovina,"191,876",+722,"8,025",+87,"149,273","+1,127","34,578","58,778","2,458","872,381","267,241","3,264,397",Europe,17,407,4
75,Venezuela,"185,736","+1,141","1,944",+19,"168,418","+1,592","15,374",289,"6,547",69,"3,359,014","118,395","28,371,170",South America,153,"14,594",8
76,Oman,"182,693","+1,263","1,909",+19,"162,656",+986,"18,128",263,"35,066",366,"1,550,000","297,509","5,209,934",Asia,29,"2,729",3
77,Libya,"173,089",+625,"2,919",+11,"158,352",+694,"11,818","24,919",420,"935,070","134,620","6,945,974",Africa,40,"2,380",7
78,Uruguay,"169,327","+2,294","2,022",+51,"139,590","+3,286","27,715",522,"48,610",580,"1,657,931","475,954","3,483,388",South America,21,"1,723",2
79,Bahrain,"166,157","+1,039",605,+5,"154,711","+1,040","10,841",95,"95,032",346,"3,934,735","2,250,430","1,748,437",Asia,11,"2,890",0
80,Nigeria,"164,423",+120,"2,061","154,406",+22,"7,956",11,782,10,"1,870,915","8,900","210,204,747",Africa,"1,278","101,992",112
81,Kenya,"152,523",+629,"2,519",+18,"103,838","+1,560","46,166",250,"2,788",46,"1,611,679","29,456","54,714,776",Africa,359,"21,721",34
82,North Macedonia,"147,995",+766,"4,509",+31,"124,828","+1,118","18,658",124,"71,039","2,164","695,267","333,733","2,083,305",Europe,14,462,3
83,Myanmar,"142,644","3,206","131,903","7,535","2,608",59,"2,559,883","46,797","54,702,094",Asia,383,"17,062",21
84,Albania,"129,842",+148,"2,353",+6,"102,601",+430,"24,888",18,"45,158",818,"608,285","211,557","2,875,272",Europe,22,"1,222",5
85,Algeria,"119,992",+187,"3,165",+5,"83,636",+122,"33,191",19,"2,697",71,"230,861","5,190","44,482,821",Africa,371,"14,055",193
86,Estonia,"118,317",+536,"1,104",+4,"103,586","+1,360","13,627",52,"89,144",832,"1,239,887","934,177","1,327,251",Europe,11,"1,202",1
87,S. Korea,"115,195",+549,"1,802",+1,"105,227",+753,"8,166",109,"2,245",35,"8,458,592","164,870","51,304,613",Asia,445,"28,471",6
88,Latvia,"112,224",+688,"2,071",+15,"102,290",+116,"7,863",78,"60,032","1,108","2,143,828","1,146,805","1,869,392",Europe,17,903,1
89,Norway,"108,587",+559,709,"88,952","18,926",47,"19,905",130,"5,009,274","918,257","5,455,197",Europe,50,"7,694",1
90,Sri Lanka,"97,472",+367,625,+5,"93,547",+173,"3,300","4,537",29,"2,374,627","110,524","21,485,260",Asia,220,"34,376",9
91,Montenegro,"95,894",+199,"1,441",+3,"91,403",+284,"3,050",69,"152,666","2,294","363,212","578,243","628,130",Europe,7,436,2
92,Cuba,"95,754","+1,183",538,+7,"90,067",+994,"5,149",59,"8,458",48,"3,407,708","301,006","11,321,062",North America,118,"21,043",3
93,Kyrgyzstan,"92,320",+225,"1,557",+2,"87,229",+173,"3,534",25,"13,966",236,"940,464","142,276","6,610,130",Asia,72,"4,245",7
94,Ghana,"91,709",771,"89,604","1,334",9,"2,903",24,"1,047,048","33,145","31,589,851",Africa,344,"40,973",30
95,Zambia,"91,042",+100,"1,236","88,900",+40,906,43,"4,844",66,"1,355,385","72,122","18,793,052",Africa,206,"15,205",14
96,Uzbekistan,"87,225",+243,639,+1,"84,533",+226,"2,053",23,"2,576",19,"1,377,915","40,698","33,856,766",Asia,388,"52,984",25
97,Finland,"84,501",+214,893,+2,"46,000","37,608",36,"15,232",161,"4,300,110","775,126","5,547,630",Europe,66,"6,212",1
98,Mozambique,"69,309",+81,802,+2,"62,323",+8,"6,184",43,"2,169",25,"505,597","15,824","31,951,225",Africa,461,"39,839",63
99,El Salvador,"67,851",+149,"2,082",+4,"63,982",+110,"1,787",60,"10,419",320,"892,504","137,046","6,512,447",North America,96,"3,128",7
100,Luxembourg,"65,319",+175,786,"61,594",+55,"2,939",30,"103,009","1,240","2,579,916","4,068,569","634,109",Europe,10,807,0
101,Cameroon,"64,809",939,"57,821","6,049",385,"2,394",35,"1,257,949","46,467","27,071,599",Africa,418,"28,830",22
102,Singapore,"60,865",+14,30,"60,540",+37,295,1,"10,339",5,"9,278,789","1,576,096","5,887,197",Asia,97,"196,240",1
103,Afghanistan,"58,214",+176,"2,557",+2,"52,272",+28,"3,385","1,124","1,469",65,"384,922","9,714","39,626,561",Asia,681,"15,497",103
104,Cyprus,"58,022",+941,295,+1,"39,061","18,666",68,"47,778",243,"4,455,645","3,669,006","1,214,401",Asia,21,"4,117",0
105,Namibia,"46,875",+102,608,+4,"44,953",+193,"1,314",33,"18,185",236,"373,669","144,967","2,577,618",Africa,55,"4,240",7
106,Ivory Coast,"45,614",+44,275,+1,"45,199",+38,140,"1,696",10,"573,182","21,309","26,898,002",Africa,590,"97,811",47
107,Thailand,"45,185","+1,443",108,+4,"28,958",+171,"16,119",1,646,2,"8,124,896","116,169","69,940,535",Asia,"1,548","647,598",9
108,Botswana,"44,702",684,"39,733","4,285",1,"18,708",286,"976,728","408,762","2,389,478",Africa,53,"3,493",2
109,Jamaica,"44,254",+118,738,+11,"19,962",+130,"23,554",29,"14,893",248,"317,507","106,850","2,971,533",North America,67,"4,026",9
110,Uganda,"41,422",+26,341,+2,"40,898",183,24,883,7,"991,038","21,137","46,887,088",Africa,"1,132","137,499",47
111,Senegal,"39,836",+15,"1,095",+4,"38,600",+61,141,17,"2,330",64,"466,228","27,273","17,094,772",Africa,429,"15,612",37
112,Zimbabwe,"37,875",+16,"1,554",+1,"35,058",+27,"1,263",12,"2,519",103,"402,475","26,768","15,035,793",Africa,397,"9,676",37
113,Malawi,"33,968",+9,"1,142",+3,"31,810",+36,"1,016",15,"1,740",58,"227,956","11,676","19,523,091",Africa,575,"17,096",86
114,Madagascar,"33,202",+404,563,+11,"26,291",+274,"6,348",319,"1,175",20,"169,863","6,011","28,257,209",Africa,851,"50,190",166
115,Sudan,"32,546",+302,"2,287",+6,"26,248",+161,"4,011",729,51,"232,965","5,216","44,664,346",Africa,"1,372","19,530",192
116,Malta,"30,039",+13,411,+2,"29,065",+62,563,"67,887",929,"849,165","1,919,073","442,487",Europe,15,"1,077",1
117,Australia,"29,559",+16,910,"26,454",+13,"2,195","1,149",35,"16,413,981","637,769","25,736,547",Australia/Oceania,871,"28,282",2
118,DRC,"29,084",+79,748,+3,"26,108",+267,"2,228",317,8,"145,261","1,584","91,722,743",Africa,"3,154","122,624",631
119,Maldives,"26,667",+162,71,+1,"23,803",+112,"2,793",68,"48,650",130,"692,619","1,263,578","548,141",Asia,21,"7,720",1
120,Angola,"24,661",+143,565,+2,"22,647",+47,"1,449",23,732,17,"445,121","13,217","33,677,562",Africa,"1,366","59,606",76
121,Mongolia,"24,195","+1,311",51,+2,"12,860",+459,"11,284",88,"7,287",15,"2,576,921","776,077","3,320,445",Asia,137,"65,107",1
122,Rwanda,"24,005",+71,327,+1,"22,560",+152,"1,118",6,"1,818",25,"1,264,616","95,749","13,207,678",Africa,550,"40,390",10
123,Gabon,"22,032",136,"18,706","3,190",34,"9,716",60,"693,064","305,646","2,267,541",Africa,103,"16,673",3
124,Guinea,"21,633",+21,139,+1,"18,991",+18,"2,503",24,"1,612",10,"421,175","31,394","13,415,948",Africa,620,"96,518",32
125,Syria,"21,433",+154,"1,468",+12,"15,088",+130,"4,877","1,201",82,"103,566","5,806","17,838,986",Asia,832,"12,152",172
126,Cabo Verde,"20,781",+154,194,+1,"18,350",+159,"2,237",23,"37,055",346,"142,081","253,346","560,819",Africa,27,"2,891",4
127,Mayotte,"19,849",+92,169,+1,"2,964","16,716",7,"71,385",608,"165,683","595,866","278,054",Africa,14,"1,645",2
128,Réunion,"19,343",+918,141,+6,"17,653",+859,"1,549",36,"21,482",157,"100,098","111,167","900,431",Africa,47,"6,386",9
129,French Polynesia,"18,720",+12,141,"4,842","13,737",4,"66,334",500,"26,355","93,388","282,210",Australia/Oceania,15,"2,001",11
130,Eswatini,"18,417",671,"17,718",+3,28,3,"15,744",574,"178,676","152,744","1,169,777",Africa,64,"1,743",7
131,French Guiana,"18,261",96,"9,995","8,170",13,"59,904",315,"203,343","667,050","304,839",South America,17,"3,175",1
132,Mauritania,"18,156",+14,454,"17,519",+20,183,14,"3,825",96,"223,135","47,007","4,746,840",Africa,261,"10,456",21
133,Somalia,"13,324",678,"5,518","7,128",820,42,"106,063","6,529","16,245,562",Africa,"1,219","23,961",153
134,Tajikistan,"13,308",90,"13,218",0,"1,371",9,"9,708,257",Asia,730,"107,870"
135,Mali,"13,246",+101,444,+3,"7,613",+120,"5,189",639,21,"247,184","11,933","20,714,145",Africa,"1,564","46,653",84
136,Burkina Faso,"13,167",+19,155,+1,"12,812",+39,200,616,7,"177,733","8,321","21,358,829",Africa,"1,622","137,799",120
137,Haiti,"12,918",251,"11,791",876,"1,122",22,"60,085","5,219","11,513,691",North America,891,"45,871",192
